﻿msg_0,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_1,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_2,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_3,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_4,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_5,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_6,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_7,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_8,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_9,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_10,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_11,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
オイラのコトが、きになるホ～？
ホホホホホ…
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
そんなコトいっちゃって…
ホントは、オイラとあそびたいホ～！？
ホホホホホ…
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
オイラのコト、しりたいホ～？
オイラもキミのコト、しりたいホ～…
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
ふろーのえらーだホ～！
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
オイラをコドモだとおもってるホ～！
ユルせないホ～！！
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
なんなのホ～！
オイラもう、おこっちゃうホ～！
まったくまったく！
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
へんなもの、むけないでホ～！
ケガとかしたら、どーするホ～！！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
コ、コワいホ～…
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
あ…わ…わ…
お、おじいちゃぁ～ん！！
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
そ、それで、オイラのあたま…
たたくホ～！？
ひ、ひゃあぁぁぁ…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
そうなのホ～…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
うらないって、おもしろそうだホ～！
オイラも、やってみたいホ～…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
それってホントにあたるのかホ～…
ホホホホホ…
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
へ～んだホ～！
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
うらないなんて
ばかみたいだホ～！
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
おっもしろいホ～！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
テキトーなコト、いわないでホ～！！
オイラもう、おこっちゃうホ～！！
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
うらないなんて、あたるワケないホ～！
にんげんって、やっぱりばかだホ～！！
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
そんなオンナのヒト、オイラしらないホ～…
でもちょっと、きになるんだホ～…
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
そんなコトいっちゃって…
オイラと、ともだちになりたいホ～！？
ホホホホホ…
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
オイラ、またわるいコトしちゃったホ～？
あ～あ、またパパにホメられちゃうホ～！
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
そんなオンナのヒト、しらないホ～！
ヘンなコトいわないでホ～！！
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
そ、そんなあ…
オイラ、な、ないちゃうホ～！！
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
そんなオンナのヒト…
オ、オイラしらないホ～…
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
どうして、オイラのこえがはいってるホ～…
ふしぎなハコだホ～…
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
なんでオイラのこえ、もってるホ～！
キミって「へんたい」だホ～！！
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
オ、オイラ…
なんにも、わるいコトしてないのに…
ふ、ふえっ、ふえっ…
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
キミって、ふしぎなコトバ
たくさんしってるんだホ～…
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
キミって、アタマがいいんだホ～！
オイラ、あこがれちゃうホ～！！
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
にんげんっておもしろいホ～！
オイラ、きにいっちゃったホ～！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
なんなのホ～！
ぜんっぜん、おもしろくないホ～！！
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
コトバがむずかしくって
ぜんっぜん、わかんないホ～！！
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
キレイだホ～…
オイラもそのフク、きてみたいホ～…
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
おもしろいホ～…
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
なんだか、みとれちゃうホ～…
オイラ、どうしちゃったホ～？
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
わあ、キレイだホ～！
オイラ、オンナのヒトって
だいすきだホ～♥
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
なんだかドキドキしてきたホ～！！
な、なんでだホ～…？
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
あれあれっ？
なんで、オイラにきいてくれたホ～？
きになるんだホ～…
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
う～ん、オイラは…
おりょうりのじょうずなひとがいいホ～！！
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
どっちもけっこう、びじんだけど…
うちのママには、かなわないホ～！！
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
あっ…
オイラにきいてくれたホ～！？
うっれしいホ～！！
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
なんでそんなコトきくホ～！！
そんなの、オイラにわかるワケないホ～！！
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
にんげんは「なやみ」がおおいんだってホ～？
おばあちゃんが、そういってたホ～…
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
にんげんって、やさしいホ～！
オイラもう、だいすきホ～♥
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
うっれしいホ～！
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
「いんたびゅー」って、おもしろそうだホ～…
オイラも、やってみたいホ～…
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
ねぇねぇ、キミキミ！
こんどは、オイラに
いんたびゅーっ！！
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
ふしぎなかんじの、おどりだホ～…
なんだかホカホカしてきたホ～…
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ、カッコい～！！
オイラもう、クギヅケだホ～！！
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
きをつかってくれてるのかホ～？
でも、オイラってアクマだし…
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
「せいぎのみかた」もたいへんなんだホ～…
オイラ、ドウジョウしちゃうホ～…
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
キミ…
なんだか、うれしそうだホ～！
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
キミたちって「せいぎのみかた」！？
うわあっ、カッコいいホ～！！
あくしゅしてホ～！！
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
オイラもきょうだい、ほしいホ～…
きょうだいゲンカとか、してみたいホ～…
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
きょうだいがいるのって
どんなかんじなのかホ～…？
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
キミキミ、カッコい～！
あこがれちゃうホ～！
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
うちのおじいちゃんも
おさけ、すきなんだホ～！
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんも、おさけのむんだホ～！
おっもしろいホ～！！
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
どうしてそんなにコダワルのかホ～？
オトナって、ヘンだホ～…
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
クチゲンカはいいけど
かみついちゃダメだホ～！！
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
ながいかみのヒト、ふしぎなコトいうホ～！
つかれてるのかホ～？
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
オイラもオトナになったら
キミたちみたいになるのかホ～？
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんって、たいへんみたいだホ～！
オイラ、アクマでよかったホ～！
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
キミたちって、すなおじゃないホ～！
オイラのコトが、きになるくせにぃ…
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
にんげんって、オトコのヒトのほうが
つよいみたいだホ～！ どうしてなのかホ～！？
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
オトコのヒトって、ワルモノなのかホ～？
オイラには、よくわかんないホ～…
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
キミ…
つよそうだホ～！
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
キミたちって
なかよしだったみたいホ～…
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
あかいかみのキミ、カッコいいホ～…
オイラもオトナになったら
キミみたいに、なりたいんだホ～…
[wait][clear][end]"
msg_81,"[color(yellow)][var(msg_var_0)][color(white)]
なんだかドキドキしてきたホ～…
むねのあたりが、ホワ～ッてするホ～…
[wait][clear][end]"
msg_82,"[color(yellow)][var(msg_var_0)][color(white)]
オンナのヒトって、オトコのヒトの
おはなしがすきみたいだホ～！
オイラには、よくわかんないけど…
[wait][clear][end]"
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
キミたち、たのしそうだホ～！
たのしいって、いいコトだホ～！！
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
あ、オイラまだのめないホ～。
それにしても、せびろのヒト…
なにかあったのかホ～！？
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
ホホッ！
にんげんって、そんなおはなしで
コワがるんだホ～…
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
めでたし、めでたし！
…だホ～！！
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひゃあぁぁぁ…
おしっこ、もらしちゃったホ～…
[wait][clear][end]"
msg_88,[end]
msg_89,[end]
msg_90,[end]
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんって、おこっても
おもしろいんだホ～！！
[wait][clear][end]"
msg_92,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
これいじょうオイラをおこらせると
「ぜんめつ」させちゃうホ～！！
[wait][clear][end]"
msg_93,"[color(yellow)][var(msg_var_0)][color(white)]
キミキミ！
つまんないコトいってると
ホントに、ジゴクにおとすんだホ～！！
[wait][clear][end]"
msg_94,"[color(yellow)][var(msg_var_0)][color(white)]
そ、そんなにおこらないでホ～…
オ、オイラがわるかったホ～…ぐすっ
[wait][clear][end]"
msg_95,[end]
msg_96,[end]
msg_97,[end]
msg_98,"[color(yellow)][var(msg_var_0)][color(white)]
ホヒャハハハッ！
にんげんが、かなしんでるホ～！
な～んか、かわいいんだホ～！
[wait][clear][end]"
