﻿msg_0,[end]
msg_1,[end]
msg_2,[end]
msg_3,[end]
msg_4,[end]
msg_5,[end]
msg_6,[end]
msg_7,[end]
msg_8,[end]
msg_9,[end]
msg_10,[end]
msg_11,[end]
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
この私の事を知りたいと…
しかし貴女程度が私を理解できるのですか？
疑問ですねぇ…
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
私の話を聞きたいのですか…
しかし私の話は難しいですよ。
何しろ非常に頭が良いもので…
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
難しいですねぇ…
いやはや、私の話は総じてレベルが高いので
貴女に適当な話題探しが大変なのですよ…
[wait][clear][end]"
msg_15,[end]
msg_16,[end]
msg_17,[end]
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
下賎な身分の分際で馴れ馴れしいわ！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
くだらぬ事をベラベラと…
舌根っこ引き抜いてくれるぞ！
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
あぁ… 何の冗談だぁ…
まったく笑えぬわ！
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
な、何を企んでいるのです…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
な、なんと答えれば良いやら…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
こういう状況は苦手なもので…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
占いとは…
か弱い人間の生涯は、それだけ未来への恐怖に
彩られているという事なのでしょう…
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
決まりきった人生など退屈だとお思いの筈なのに
決まりきった未来を占おうとは…
人間は、実に不思議なものですね…
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
遥か昔から様々な占いを見てきましたが
一つとして当たるものを見た事がありません…
さて、貴女の占いは、どうなのでしょうかね？
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
悪魔である私を占うとは…
顔に似合わず、とぼけた方だ…
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
私も占いは、お手の物ですよ。
なにせ悪魔ですからね…
くっくっくっくっ…
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
人間の占いで悪魔である私を占おうとは…
脳細胞が５、６個足りないのでは？
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
人間如きに悪魔が占えるかっ！
思いあがるなっ！
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
貴様如きの当てずっぽうの占いなど
誰が信じるかっ！
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
時間の無駄だっ！
[wait][clear][end]"
msg_33,[end]
msg_34,[end]
msg_35,[end]
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ… 貴方、刑事とかいう職業の様ですね。
貴方の立場、さしずめ「岡っ引き」
とでもいったところでしょうか…
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
知恵比べになりそうですね？ 良いでしょう…
久し振りに脳細胞を一つ余分に
動かしてみますか…
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ… 私をお疑いに…
貴方の推理、是非お伺いしたいものですねぇ…
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
どうぞ、お調べ下さい。
なんでしたら全裸になって差し上げますよ…
くっくっくっくっ…
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
いい大人が警察ごっこですか？
どうやら脳の発育が上手くない様ですね。
くっくっくっくっ…
[end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
どうやら彼は、夢の続きでも
ご覧になってる様ですねぇ…
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
貴ッ様ぁっ、何を根拠に！
それ以上侮辱する積もりならば
生かしておかぬぞ！
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
何の冗談だっ！
詰まらぬ事をいうと捨て置かんぞ！
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
それ以上、下らぬ余興を続けるならば
私を侮辱した罪で、私自ら処刑してくれるぞっ！
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
わ、私が、そんな…
身に覚えなどありません…
そんな女…
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
お、女の事など存じません…
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ…
なかなか良く録れてますねぇ…
私の声は何時聞いても惚れ惚れします。
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ、私の声ですか…
記念にとっておいてください。
なぁに、料金なんて頂きませんよ。
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ…
貴方、なかなか堂に入った脅しっぷり…
次は、どの様な手で来るのか楽しみですね。
[wait][clear][end]"
msg_50,[end]
msg_51,[end]
msg_52,[end]
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
この私を脅すとは…
命の保証はせぬぞっ！
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
その様なテープ…
貴様もろとも塵と化してくれるわっ！
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
な、何がお望みなのでしょうか…
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
わ、私にどうしろと…
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
ま、まさか録られていたとは…
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
これは、新しい発見！
胡麻粒程の脳で、そこまで考えていようとは！
これは、もはや神秘ですよ！
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
随分すらすらと難しい言葉が出てきますね。
かなり練習したのではありませんか？
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
自分の所有物でもないのに心配とは…
貴方、かなり苦労性ですねぇ…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
本でもお書きになったら如何です？
最も読むべき人は読まないでしょうが…
くっくっくっくっ…
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
日本に明日が訪れれば良いですねぇ…
くっくっくっくっ…
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
日本が将来どうなろうと
私の知った事ではないわっ！
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
では、ここに貴方の日本を汚す悪魔がいます…
口ばかり動かさずかかって来たらどうだっ！
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
そ、その様な事を言われましても…
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
難しい事は、ちょっと…
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
花の命は実に短い…
早めに次の一手を考えておいた方が
宜しいですよ…
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
歩くだけで金になるとは…
実に羨ましい商売ですねぇ。
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ、珍しいお仕事をなされている様で…
しかし、人間の美的感覚には
甚だ疑問を感じますねぇ…
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
なかなか軽やかな足取り…
頭の軽さが絶妙に表現されていますねぇ…
くっくっくっくっ…
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
良かったですね、売るものがあって…
しかし期間限定商品の様ですが…
くっくっくっくっ…
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
詰まらぬものを見せるなっ！
目が腐るわ！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
人間のメス如きに興味はないわっ！
[wait][clear][end]"
msg_74,[end]
msg_75,[end]
msg_76,[end]
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
ふっ、私に男色の気はありませんよ。
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
その眼…
気になりますね。
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
これはこれは！
どうやら私が、お気に入りのようだ！
[wait][clear][end]"
msg_80,[end]
msg_81,[end]
msg_82,[end]
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
貴様の眼、気に入らん！
止めないのなら、えぐらせてもらうぞっ！
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
言いたい事があるのなら、口で言えっ！
それとも、その口は、飾り物かっ！！
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
何を見ているっ！
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
わ、私に、その様な趣味は…
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
な、何か、お気に障る事でも…
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
これは、なかなか難しい質問ですね。
…ふむ、実に難しい。
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
これは、難問ですね…
貴女方の外見に差を見出す事は、
河原の石の価値に差を見出すと同程度ですから…
[wait][clear][end]"
msg_90,"[color(yellow)][var(msg_var_0)][color(white)]
人間の競争心は、この様な場面でも
否応なく発揮されるのですね…
実に興味深い。
[wait][clear][end]"
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
私にアピールしているのですか？
そんな事をなさらなくとも頂く積もりでしたよ。
[wait][clear][end]"
msg_92,"[color(yellow)][var(msg_var_0)][color(white)]
スライム曰く、とろけ具合が今一つですね…
もう少し、とろけてから出直して来て下さい。
くっくっくっくっ…
[wait][clear][end]"
msg_93,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
もてる男は辛いとでもいったところですか…
[wait][clear][end]"
msg_94,"[color(yellow)][var(msg_var_0)][color(white)]
下らぬ事を…
そんなものどちらでも良いわっ！
[wait][clear][end]"
msg_95,"[color(yellow)][var(msg_var_0)][color(white)]
貴様らなど、同じジャガイモ程にしか見えんわ！
[wait][clear][end]"
msg_96,"[color(yellow)][var(msg_var_0)][color(white)]
人間のメスなど、端から興味は無いわ！
[wait][clear][end]"
msg_97,[end]
msg_98,[end]
msg_99,[end]
msg_100,"[color(yellow)][var(msg_var_0)][color(white)]
おやおや、なんともご親切な方ですねぇ…
頭の中に親切虫でも飼ってらっしゃるんですか？
[wait][clear][end]"
msg_101,"[color(yellow)][var(msg_var_0)][color(white)]
心配というものは、他人にしている様で
その実、自分にしているものなのですよ…
[wait][clear][end]"
msg_102,"[color(yellow)][var(msg_var_0)][color(white)]
おお！ これは珍しい…
自分の命を脅かす敵を心配するとは…
余りの緊張に脳味噌が沸騰しているのでは？
[wait][clear][end]"
msg_103,"[color(yellow)][var(msg_var_0)][color(white)]
心配ですか？ そうですねぇ…
強いて言えば貴女方の食し方くらいですね。
くっくっくっくっ…
[wait][clear][end]"
msg_104,"[color(yellow)][var(msg_var_0)][color(white)]
私を心配している貴女の顔はマリア様の様ですね…
その何も考えていない様な間抜け面がね。
くっくっくっくっ…
[wait][clear][end]"
msg_105,"[color(yellow)][var(msg_var_0)][color(white)]
良く出来た人情芝居でしたよ…
これなら、お年寄りの涙を十分誘えますよ。
くっくっくっくっ…
[wait][clear][end]"
msg_106,"[color(yellow)][var(msg_var_0)][color(white)]
貴ッ様ぁぁ…
人の子の分際で思い上がるなぁッ！
[wait][clear][end]"
msg_107,"[color(yellow)][var(msg_var_0)][color(white)]
臭すぎて反吐がでるわっ！
[wait][clear][end]"
msg_108,"[color(yellow)][var(msg_var_0)][color(white)]
出しゃばるなぁっ！
[wait][clear][end]"
msg_109,[end]
msg_110,[end]
msg_111,[end]
msg_112,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ…
人間の会話には、その様な道具が必要なのですか。
なんとも不便な…
[wait][clear][end]"
msg_113,"[color(yellow)][var(msg_var_0)][color(white)]
人の話を聞くのは良い事ですね。
但し相手は、よく選ばなければ…
[wait][clear][end]"
msg_114,"[color(yellow)][var(msg_var_0)][color(white)]
私には、どの様な質問をして頂けるのでしょうか？
非常に楽しみですね…
[wait][clear][end]"
msg_115,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
下らないやり取りですねぇ。
しかし私の笑いは十分とれましたよ。
[wait][clear][end]"
msg_116,"[color(yellow)][var(msg_var_0)][color(white)]
くっくっくっくっ…
幼稚な会話ですねぇ。
実に微笑ましい…
[wait][clear][end]"
msg_117,"[color(yellow)][var(msg_var_0)][color(white)]
真剣な会話をしているお積もりですか？
私には、漫才でもしている様に見えますよ。
くっくっくっくっ…
[wait][clear][end]"
msg_118,"[color(yellow)][var(msg_var_0)][color(white)]
私を無視するとは、良い度胸ですねぇ…
こぉの、下等生物がぁっ！
[wait][clear][end]"
msg_119,"[color(yellow)][var(msg_var_0)][color(white)]
私を無視するとは、一体何の冗談だっ！
[wait][clear][end]"
msg_120,[end]
msg_121,[end]
msg_122,[end]
msg_123,"[color(yellow)][var(msg_var_0)][color(white)]
ほぉ、突然踊り出すとは、気でも違いましたか？
お気の毒に…
[wait][clear][end]"
msg_124,"[color(yellow)][var(msg_var_0)][color(white)]
実に興味深いのですが見てない事にして下さい。
「踊る阿呆に見る阿呆」…
阿呆は、貴方だけで充分ですからね。
[wait][clear][end]"
