﻿msg_0,"港南警察署署長室
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]島津管理官[color(white)]
はい…わかりました。
では…そのように。

[sync][wait][clear][end]"
msg_3,"[color(yellow)]富樫署長[color(white)]
………
[sync][wait][clear][end]"
msg_4,"[color(yellow)]富樫署長（とがししょちょう）[color(white)]
[color(green)]名目上、連続猟奇殺人事件特別捜査本部の本部長を
務める港南署の警察署長。[color(white)]
[sync][wait][clear][end]"
msg_5,"[color(yellow)]島津管理官[color(white)]
報告を読ませてもらった。
一度、病院へ行ってきたまえ…
[sync][wait][clear][end]"
msg_6,"[color(yellow)]克哉[color(white)]
管理官！
じゃあ、あの飛行船はなんなんです！？
飛ぶはずないものが飛んだんですよ！？
[sync][wait][clear][end]"
msg_7,"[color(yellow)]島津管理官[color(white)]
事実関係は調査中だ。
病院の件も、ガス爆発による火災と聞いている。
生存者は０、遺体の損傷も激しいそうだ。
[sync][wait][clear][end]"
msg_8,"[color(yellow)]克哉[color(white)]
火災…ですって…！？
火事で病院の人間全部が死んだと？
自分は現場を見たんです！
[sync][wait][clear][end]"
msg_9,"[color(yellow)]島津管理官[color(white)]
私の担当ではない。
これ以上、君の寝言に付き合う義務も無い。
[sync][wait][clear][end]"
msg_10,"[color(yellow)]刑事[color(white)]
管理官！
本部から入電、殺人です。
ババと同一手口で複数、多発してます。
[sync][wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
バカな…
[sync][wait][clear][end]"
msg_12,"[color(yellow)]島津管理官[color(white)]
今までのガイシャの周辺を、
もう一度徹底的に洗い直せ。
一件一件、しらみつぶしにだ。
[sync][wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
これ以上敷鑑やったところで、効果ありませんよ！
須藤竜蔵の内偵を進めるべきです！
[sync][wait][clear][end]"
msg_14,"[color(yellow)]富樫署長[color(white)]
[suou]巡査部長…２週間の謹慎を命じる。
これ以上捜査を妨害すれば、査問にかけねばならん。
[sync][wait][clear][end]"
msg_15,"[color(yellow)]頬に傷のある男[color(white)]
いいデカだ…
あんた達と違うね。
[sync][wait][clear][end]"
msg_16,"[color(yellow)]島津管理官[color(white)]
フッ…
父親譲りというところですかね、署長…？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]富樫署長[color(white)]
………
[sync][wait][clear][end]"
msg_18,"[color(yellow)]島津管理官[color(white)]
ＪＯＫＥＲに電話した人間の通話記録だ。
一匹逃がさず納品しろ。
これ以上、神条にでかい顔されるのはたまらん。
[sync][wait][clear][end]"
msg_19,"[color(yellow)]頬に傷のある男[color(white)]
芹沢…？
この女もか？
[sync][wait][clear][end]"
msg_20,"[color(yellow)]島津管理官[color(white)]
そいつは捨て置け。
奴らには別の役目がある。
[sync][wait][clear][end]"
msg_21,"[color(yellow)]島津管理官[color(white)]
クック…駒は多いほうがいい。
せいぜい派手に動いてもらおうか…
どちらにもな。
[sync][wait][clear][end]"
