﻿msg_0,"珠閒瑠テレビ第一スタジオ
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]司会[color(white)]
え～それでは、ワンロン千鶴さんに、
巷を騒がせているＪＯＫＥＲ事件の行く末を
占ってもらいましょう。
[sync][wait][clear][end]"
msg_3,"[color(yellow)]ワンロン千鶴[color(white)]
クッ…！？
[sync][wait][clear][end]"
msg_4,"[color(yellow)]黒須純子[color(white)]
大丈夫…千鶴さん？
[sync][wait][clear][end]"
msg_5,"[color(yellow)]ワンロン千鶴[color(white)]
式鬼が討たれたか…
[sync][wait][clear][end]"
msg_6,"[color(yellow)]黒須純子[color(white)]
え…？
[sync][wait][clear][end]"
msg_7,"[color(yellow)]ワンロン千鶴[color(white)]
いえ…大丈夫です。
少し目眩がしただけですから…
続けましょう。
[sync][wait][clear][end]"
msg_8,"[color(yellow)]ワンロン千鶴[color(white)]
天帝の遣いたまいし１２の地龍…
世の禍事罪穢れを示せし女媧（じょか）、
生幸わいを示せし伏羲（ふくぎ）よ…
[sync][wait][clear][end]"
msg_9,"[color(yellow)]ワンロン千鶴[color(white)]
我に事件の行く末を知らしめ給え～急々如律令！
[sync][wait][clear][end]"
msg_10,"[color(yellow)]ワンロン千鶴[color(white)]
おお…なんと！？
全守護龍に女媧の兆しが現れた！！
[sync][wait][clear][end]"
msg_11,"[color(yellow)]ワンロン千鶴[color(white)]
このままでは、ＪＯＫＥＲに憑かれる人が
更に増える！！
憑かれる前に穢れを祓う必要があるでしょう！！
[sync][wait][clear][end]"
