﻿msg_0,"[color(yellow)]リサ[color(white)]
情…人…（チン…ヤン…）？
[end]"
msg_1,"ど、どうしてここに…？
[sync][wait][clear][end]"
msg_2,"[color(yellow)]ワンロン千鶴[color(white)]
フフン…
[end]"
msg_3,"お前が、久鷹様の言う特異点か…
[sync][wait][clear][end]"
msg_4,"[color(yellow)]ワンロン千鶴[color(white)]
あの方の関心を買う小癪な輩…
[end]"
msg_5,"私が引導を渡してあげるわ！
[sync][wait][clear][end]"
msg_6,"[color(yellow)][tatsuya][color(white)]
下がってろ、ギンコ…
[sync][wait][clear][end]"
msg_7,"[color(yellow)]リサ[color(white)]
ギン…コ…？
[sync][wait][clear][end]"
msg_8,"[color(yellow)]リサ[color(white)]
[suou]先…輩…？
[end]"
msg_9,"ど、どうしてここに…？
[sync][wait][clear][end]"
msg_10,"[color(yellow)]ワンロン千鶴[color(white)]
フフン…
[end]"
msg_11,"お前が、久鷹様の言う特異点か…
[sync][wait][clear][end]"
msg_12,"[color(yellow)]ワンロン千鶴[color(white)]
あの方の関心を買う小癪な輩…
[end]"
msg_13,"私が引導を渡してあげるわ！
[sync][wait][clear][end]"
msg_14,"[color(yellow)][tatsuya][color(white)]
下がってろ、リサ…
[sync][wait][clear][end]"
msg_15,"[color(yellow)]リサ[color(white)]
リサ…？
[sync][wait][clear][end]"
msg_16,"[color(yellow)]克哉[color(white)]
[tatsuya]…！？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]ワンロン千鶴[color(white)]
チッ…！
[end]"
msg_18,"黒須純子！
お前はその小僧を殺しなさい！！
[sync][wait][clear][end]"
msg_19,"[color(yellow)]ＪＯＫＥＲ純子[color(white)]
承・知♥
[end]"
msg_20,"可愛い坊やだこと…
[sync][wait][clear][end]"
msg_21,"[color(yellow)]うらら[color(white)]
私、アンタの占い信じてたのにぃ！
[end]"
msg_22,"よくも裏切ってくれたじゃないのさっ！！
[sync][wait][clear][end]"
msg_23,"[color(yellow)]ワンロン千鶴[color(white)]
フフ…
貴方のような人間がいるから、占いが必要なのよ。
[end]"
msg_24,"おかげで沢山の「穢れ」が集まった…
[sync][wait][clear][end]"
msg_25,"[color(yellow)]ワンロン千鶴[color(white)]
そこの男！呪術は時代遅れと言ったわね…
[end]"
msg_26,"私は、お前のような人間から蔑まれ、
排斥されてきた…
[sync][wait][clear][end]"
msg_27,"[color(yellow)]ワンロン千鶴[color(white)]
今の世の中に必要の無い力！汚れた血と！
お前達は自分と違う者を受け入れない。
[end]"
msg_28,"なんて愚かで罪汚れた者たち！
[sync][wait][clear][end]"
msg_29,"[color(yellow)]ワンロン千鶴[color(white)]
見てみなさいこの現状を！
そして認めるがいい！
人は、神託や託宣に縋らねば生きて行けないと！
[sync][wait][clear][end]"
