﻿msg_0,"某所会議室
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]杖をついた老人[color(white)]
…では、な。
[sync][wait][clear][end]"
msg_3,"[color(yellow)]須藤竜蔵（すどうたつぞう）[color(white)]
[color(green)]新世塾の筆頭幹部として計画を取り仕切る、
老獪な現職外務大臣。[color(white)]
[sync][wait][clear][end]"
msg_4,"[color(yellow)]顔色の悪い男[color(white)]
いやぁ、無原罪を掲げる人の手口とは
思えませんなぁ。
いや、お見事だと言ってるんです。
[sync][wait][clear][end]"
msg_5,"[color(yellow)]菅原陸将（すがわらりくしょう）[color(white)]
[color(green)]飄々とした、陸自の第１５師団師団長を務める
新世塾の幹部。
体を病んでいるらしく顔色が悪い。[color(white)]
[sync][wait][clear][end]"
msg_6,"[color(yellow)]竜蔵[color(white)]
嫌味はいい。
手はずは整っているのだろうな…？
[sync][wait][clear][end]"
msg_7,"[color(yellow)]菅原陸将[color(white)]
抜かりはありませんよ。
「×－１」の良いテストになりましょう。
では、失礼…
[sync][wait][clear][end]"
msg_8,"[color(yellow)]菅原陸将[color(white)]
虎の威を借る化け狐が…
[sync][wait][clear][end]"
msg_9,"[color(yellow)]新世塾幹部[color(white)]
今のところ、計画は順調に推移しているが…
不確定要素は特異点とかいう子供の存在であろう。
[sync][wait][clear][end]"
msg_10,"[color(yellow)]新世塾幹部[color(white)]
何ゆえ障害をそのまま捨て置くのか。
大体、特異点とは何なのだ？
正直、最近の御前のお考えは…
[sync][wait][clear][end]"
msg_11,"[color(yellow)]竜蔵[color(white)]
口を慎め…御前のおん前ぞ。
[sync][wait][clear][end]"
msg_12,"[color(yellow)]竜蔵[color(white)]
御前のお考えは、
我らなど遠く及ばぬところにある。
各々、与えられた使命を全うせよ。
[sync][wait][clear][end]"
msg_13,"[color(yellow)]サングラスの男[color(white)]
フッ…
一番罪深いのは誰かな…？
[sync][wait][clear][end]"
msg_14,"[color(yellow)]神取鷹久（かんどりたかひさ）[color(white)]
[color(green)]かつて世界の破滅を目論見、南条やエリー達に
倒されたペルソナ使い。
３年前に死んだはずなのだが…[color(white)]
[sync][wait][clear][end]"
msg_15,"[color(yellow)]神取[color(white)]
野心に駆られた老人どもか…
混沌を混沌ならしめる人間か…
それとも…
[sync][wait][clear][end]"
msg_16,"[color(yellow)]神取[color(white)]
フッ…
一番罪深いのは誰かな…？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]神取[color(white)]
野心に駆られた老人どもか…
混沌を混沌ならしめる人間か…
それとも…
[sync][wait][clear][end]"
msg_18,"[color(yellow)]御前と呼ばれるミイラ[color(white)]
………
[sync][wait][clear][end]"
