﻿msg_0,"アメノトリフネ制御室
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]竜蔵[color(white)]
全天誅軍将兵諸君！
ようやく、御前が心待ちにされたトリフネ伝説が
現実のものとなった！！
[wait][clear][end]"
msg_3,"[color(yellow)]竜蔵[color(white)]
残るは、操龍の神事をもって女媧を解放し、
恵みをもたらす１２龍の手によって現世の
穢れを一掃するのみであるっ！！
[wait][clear][end]"
msg_4,"[color(yellow)]竜蔵[color(white)]
我々は問う！！
今までの人の歴史はなんだったのかと！！
[wait][clear][end]"
msg_5,"[color(yellow)]竜蔵[color(white)]
雑多な宗教！民族！欲望！そして価値観！
これらに彩られた人類の歴史は、
「罪」の歴史ではなかったかと！！
[wait][clear][end]"
msg_6,"[color(yellow)]竜蔵[color(white)]
然るに、物に恵まれ、理想を失い、己を問うことを
忘れた大衆は、生まれながらに背負った罪を償おう
ともせず、漫然と無為な時を重ねていくのみ！
[wait][clear][end]"
msg_7,"[color(yellow)]竜蔵[color(white)]
爛熟、腐敗した文明を清算し、新たな未来を
創り直す夢を我々が与えねばならんのだ！！
[wait][clear][end]"
msg_8,"[color(yellow)]竜蔵[color(white)]
これは「罰」であるっ！！
そして、選ばれた人々は知るであろう！！
我々の前に、洋々と広がる『無原罪』の未来を！
[sync][wait][clear][end]"
msg_9,"[color(yellow)]菅原陸将[color(white)]
異常者めが…
[sync][wait][clear][end]"
msg_10,"[color(yellow)]竜蔵[color(white)]
菅原君…
[sync][wait][clear][end]"
msg_11,"[color(yellow)]菅原陸将[color(white)]
ハッ…
[wait][clear][end]"
msg_12,"[color(yellow)]竜蔵[color(white)]
トリフネは君に任せる。
我々は、御前とウテナに登る。
プチ・デヴァを用意したまえ…
[wait][clear][end]"
msg_13,"[color(yellow)]菅原陸将[color(white)]
ハッ…すぐ用意させましょう。
[wait][clear][end]"
msg_14,"[color(yellow)]竜蔵[color(white)]
そう…君は、悪性の病に犯されていたな…
御前は、君の働きに大層お慶びだ。
ほどなく、不老不死の望みも叶うだろう。
[wait][clear][end]"
msg_15,"[color(yellow)]菅原陸将[color(white)]
おおっ…！
それでこそ、働き甲斐があるというものですなぁ！
[sync][wait][clear][end]"
msg_16,"[color(yellow)]竜蔵[color(white)]
多少、身体つきは変わるかもしれんがね…
[wait][clear][end]"
msg_17,"[color(yellow)]菅原陸将[color(white)]
は…？
[wait][clear][end]"
