﻿msg_0,"ペルソナ２孤影～Ｌｏｎｅｓｈａｄｏｗ～
[end]"
msg_1,[clear][end]
msg_2,"○○月１３日ＰＭ：１６時４７分
ルナパレス港南宮代詩織宅
[end]"
msg_3,[clear][end]
msg_4,"[color(yellow)]綺麗な女性[color(white)]
どうぞ、入って[tatsuya]君。
隣の部屋空いてるから、好きに使って。
[sync][wait][clear][end]"
msg_5,"[color(yellow)]綺麗な女性[color(white)]
去年まで独身寮にいたんだけどね。
プライバシーなんてないようなもんだから、
奮発してここ借りたの。
[wait][clear][end]"
msg_6,"[color(yellow)]綺麗な女性[color(white)]
一人暮らしにはちょっと大きな家だから、
君が来てくれて丁度良かったわ。
ほら、職場に近くて空いてる部屋、ここしかなくって。
[wait][clear][end]"
msg_7,"[color(yellow)]綺麗な女性[color(white)]
えっと、後でリビングのソファ、君の部屋に運ぶわね。
ベッドの方がいい？
あ、テレビ見たかったらいつでもこの部屋使って。
[sync][wait][clear][end]"
msg_8,"[color(yellow)][tatsuya][color(white)]
………
[sync][wait][clear][end]"
msg_9,"私は彼を自宅に招き入れると、
脱ぎ散らかしたままの服や、床に散乱した
それほど数があるわけでもない化粧品を
拾い集めながら、努めて明るい声で喋り続けた。
[wait][clear][end]"
msg_10,"少し声が上ずっていたかもしれない。
私に気を遣っているのか、身の置き場に困っているのか、
彼は押し黙ったまま部屋を見ないよう窓辺に佇んでいた。
[wait][clear][end]"
msg_11,"代わりに、床に刻まれた長い影が
彼の心境を物語っていた。
戸惑い、拒絶、そして、孤独覧覧
[wait][clear][end]"
msg_12,"これから先もずっとそうやって独りで何かをやり、
日没と共に闇に紛れる影のように
どこかへ消えていくつもりなのだ。
[wait][clear][end]"
msg_13,"そうはさせない。
[wait][clear][end]"
msg_14,"こちらにも１０年待った事情がある。
そう、これは彼だけの物語ではない。
私と彼の物語だ。
[sync][wait][clear][end]"
