﻿msg_0,"○○月１３日ＡＭ：１時１０分
夢崎区クラブゾディアック
（１３時間３７分前）
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]綺麗な女性[color(white)]
吉栄杏奈さん？
[sync][wait][clear][end]"
msg_3,"[color(yellow)]杏奈[color(white)]
…あんた、誰？
[sync][wait][clear][end]"
msg_4,"いきなり名前を聞かれて否定もせずに、
逆にこちらの素性を問いただすのは本人という証だ。
[wait][clear][end]"
msg_5,"私は、整ってはいるが歳に相応しくない無表情な顔に、
手帳を開いて証票を突き付けた。
[wait][clear][end]"
msg_6,"氏名や巡査という階級の上に張られた
自分の無愛想な写真が、私はあまり好きではない。
[sync][wait][clear][end]"
msg_7,"[color(yellow)]綺麗な女性[color(white)]
港南署少年課の宮代詩織よ。
初めまして。
[sync][wait][clear][end]"
msg_8,"[color(yellow)]杏奈[color(white)]
…ここには、トイレ借りに来ただけ。
ちょうど今帰るとこ。
[sync][wait][clear][end]"
msg_9,"こんな時間に、面識のある交通課ではなく
少年課の刑事が来た意味を察したのだろう。
[wait][clear][end]"
msg_10,"杏奈は、背中を預けていた壁から身を離すと
堂々たる嘘をついて出口へ歩き出した。
[sync][wait][clear][end]"
msg_11,"[color(yellow)]詩織[color(white)]
そういうことで来たんじゃないの。
今日は、ね。
あなたに聞きたいことがあるんだけど。
[sync][wait][clear][end]"
msg_12,"杏奈は立ち止まると肩越しに振り返り、
無感情な目を向けた。
私が来た理由を早合点したことに気づいたのだ。
[wait][clear][end]"
msg_13,"でなければ、他にどんな言葉をかけても
そのまま外へ出ようとしただろう。
店に迷惑をかけないためだ。
[wait][clear][end]"
msg_14,"どんなコミュニティにも暗黙のルールがある。
学校と高校陸上界からドロップアウトし、
居てはいけない世界に居場所を求めた彼女は、
既にこの気だるい世界の住人なのだ。
[sync][wait][clear][end]"
msg_15,"[color(yellow)]詩織[color(white)]
あなたをはねて逃げた金田大輔、
保釈されたのは知ってるわよね？
[sync][wait][clear][end]"
msg_16,"[color(yellow)]杏奈[color(white)]
…だから、なに？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]詩織[color(white)]
殺されたわ。
[sync][wait][clear][end]"
msg_18,"杏奈の顔に、初めて感情の色が現れた。
それも束の間、怪訝そうに歪めた柳眉を
元の能面に戻すと、ひとつ短い息を吐いた。
[sync][wait][clear][end]"
msg_19,"[color(yellow)]杏奈[color(white)]
それで、私を調べに来たわけ…
死んだのはいつ？
[sync][wait][clear][end]"
msg_20,"警官がこんな時なにを聞いてくるか、
自分の選手生命が絶たれた事件で、
いやというほど知っているのだろう。
杏奈は、先回りして金田の死亡推定時刻を尋ねてきた。
[wait][clear][end]"
msg_21,"肝が据わっているだけでなく、頭の回転も速いようだ。
[wait][clear][end]"
msg_22,"無論、彼女にはアリバイがあるだろう。
私もそれを疑っているわけではない。
だが、直接手を下さずとも人を殺すことはできる。
今のこの街覧珠閒瑠市では。
[sync][wait][clear][end]"
msg_23,"[color(yellow)]詩織[color(white)]
私が聞きたいのは、あなたのアリバイじゃない。
そこはいずれちゃんとした捜査員が聞きにくるはずよ。
私が知りたいのはこれのこと。見たことある？
[sync][wait][clear][end]"
msg_24,"私は、黒地に白い文字が印刷されたメッセージカードを
取り出すと彼女に手渡した。
[sync][wait][clear][end]"
msg_25,"[color(yellow)]杏奈[color(white)]
「次ハ、オ前ダ。」
…なに、これ？
[sync][wait][clear][end]"
msg_26,"[color(yellow)]詩織[color(white)]
差出人はＪＯＫＥＲ。
[wait][clear][end]"
msg_27,"[color(yellow)]詩織[color(white)]
自分の携帯から自分の携帯に電話すると、
憎い相手を殺してくれるっていう、噂の猟奇殺人鬼。
聞いたことあるでしょ？
[wait][clear][end]"
msg_28,"[color(yellow)]詩織[color(white)]
金田の自宅にも、それと同じものが届いてた。
ＪＯＫＥＲは、律儀に予告状を送ってくるみたいね。
流石にそこまで、噂通りとは思わなかったわ。
[sync][wait][clear][end]"
msg_29,"[color(yellow)]杏奈[color(white)]
…そう。
私があいつを殺してくれって、頼んだと思ってるの。
残念だけど、他人に頼むくらいなら自分でやってる。
[sync][wait][clear][end]"
msg_30,"杏奈は何気なく裏返したカードの宛名を見て、
私に突き返そうと伸ばしていた手を止めた。
今日二度目の表情だ。
[sync][wait][clear][end]"
msg_31,"[color(yellow)]詩織[color(white)]
そうよ、それは私宛。
[sync][wait][clear][end]"
msg_32,"[color(yellow)]杏奈[color(white)]
…心当たりあるの？
いたずらだと思うけど。
[sync][wait][clear][end]"
msg_33,"[color(yellow)]詩織[color(white)]
こんな仕事してるから、恨んでる子もいるかもね。
[wait][clear][end]"
msg_34,"[color(yellow)]詩織[color(white)]
でも、それは私がやったの。
私がＪＯＫＥＲに電話した。
宮代詩織を殺してって。
[sync][wait][clear][end]"
msg_35,"言葉を失ったのか、杏奈の顔は能面に戻らなかった。
彼女の普段とは違う顔を見たい男は大勢いるだろう。
私は、周りで体を揺らしている連中に
褒められてもいいはずだ。
[wait][clear][end]"
msg_36,"もっとも、男たちが見たいのは、
彼女のこんな顔ではないだろうが。
[sync][wait][clear][end]"
msg_37,"[color(yellow)]詩織[color(white)]
自分の携帯から、自分の電話番号にかけたことある？
普通は話中になってつながらないんだけど、
かかったの。
[wait][clear][end]"
msg_38,"[color(yellow)]詩織[color(white)]
ずっと黙ってたけど、
確かに噂通り誰かが電話に出たわ。
[sync][wait][clear][end]"
msg_39,"[color(yellow)]杏奈[color(white)]
…どうして、自分の名前を？
[sync][wait][clear][end]"
msg_40,"[color(yellow)]詩織[color(white)]
他人の名前で試すわけにもいかないでしょ。
ねぇ、あなたの時はどうだった？
[wait][clear][end]"
msg_41,"[color(yellow)]詩織[color(white)]
ＪＯＫＥＲは、ただ相手を殺すだけ？
見返りや報酬を要求したりしないの？
何か会話を交わしたり、姿を見たことは？
[wait][clear][end]"
msg_42,"[color(yellow)]詩織[color(white)]
髪は、廃り込んでなければ、たぶん
ライオンのたてがみみたいなボサボサじゃない？
年は２０代後半…２７、８ってところじゃなかった？
[sync][wait][clear][end]"
msg_43,"私がまくし立てると、杏奈は
また心を閉ざしてしまったようだ。
冷めた目で、途中で止めた腕を伸ばし
予告状を突き返してきた。
[sync][wait][clear][end]"
msg_44,"[color(yellow)]杏奈[color(white)]
…そんなに知りたければ、本人に聞けば？
ＪＯＫＥＲって奴が本当にいるなら、
あんたを殺しに来るんでしょ。
[wait][clear][end]"
msg_45,"[color(yellow)]杏奈[color(white)]
そんな小道具まで用意してきたのに悪いけど、
私、人殺しなんて頼んでないから。
[sync][wait][clear][end]"
msg_46,"その通りだ。
ＪＯＫＥＲが噂通りの存在なら、
放っておいても向こうから来るはずだ。
待てばいい。
[wait][clear][end]"
msg_47,"最初はそのつもりで、受話器の向こうに佇む何者かに
自分の名を告げたはずだ。
[wait][clear][end]"
msg_48,"それでもこの娘の元を訪れたのは、
不安と焦りを和らげたかったからだ。
[wait][clear][end]"
msg_49,"連続猟奇殺人の合同捜査本部で見た
被害者の写真が頭をよぎった。
誰だって、あんな死に方はしたくない。
[wait][clear][end]"
msg_50,"この娘がＪＯＫＥＲに殺人を依頼していれば、
奴の正体につながる手がかりが得られるかもしれない。
これ以上被害者が増える前に、ＪＯＫＥＲを
確保することもできるかもしれない。
[wait][clear][end]"
msg_51,"だがそれは、この不幸な少女が殺人の共同正犯、
あるいは教唆に問われるということだ。
私は、我が身可愛さと、ＪＯＫＥＲの正体を掴もうと
焦るあまり、無意識にそれを期待していたのだ。
[wait][clear][end]"
msg_52,"軽蔑されても仕方ない。
青少年の健全育成を建前とする少年課の刑事に
あるまじき行為だ。
[wait][clear][end]"
msg_53,"だが、私は少しホッとしていた。
今までの反応を見る限り、この娘はシロだ。
わざわざ断定的に問い質し怒らせた甲斐があった。
[sync][wait][clear][end]"
msg_54,"[color(yellow)]詩織[color(white)]
あなたの言う通りね…
ひどい聞き方してごめんなさい。
やっぱり、自分で確かめるべきだわ。
[sync][wait][clear][end]"
msg_55,"捜査本部に無断で彼女の身辺を調べ、犯罪被害者でもある
少女に不快な思いをさせた償いはしなければなるまい。
いくら孤立無援とはいえ、このまま自分まで
汚れた警官に成り下がることはない。
[wait][clear][end]"
msg_56,"それには、ＪＯＫＥＲの正体を突き止め確保することだ。
私は腹をくくると入り口の店員に歩み寄り、
警察手帳を見せ声をかけた。
[sync][wait][clear][end]"
msg_57,"[color(yellow)]詩織[color(white)]
この店、奥にＶＩＰフロアがあったわよね。
出入り口は、そこの扉以外他にないわね？
[sync][wait][clear][end]"
msg_58,"男は私の目を見ようとしなかった。
面倒くさいことになると知っているのだ。
[sync][wait][clear][end]"
msg_59,"[color(yellow)]店員[color(white)]
まいったな…
最近オーナーが変わって、店の奥改装中なんすよ。
今使ってないんで、誰もいないっすよ。
[sync][wait][clear][end]"
msg_60,"[color(yellow)]詩織[color(white)]
都合がいいわ。
朝まで貸して欲しいんだけど、鍵をくれる？
[sync][wait][clear][end]"
msg_61,"[color(yellow)]店員[color(white)]
え？
い、いやー、俺バイトでよくわからないんすよ、
そういうこと…
[sync][wait][clear][end]"
msg_62,"[color(yellow)]詩織[color(white)]
この店、３号営業で届け出してたわよね？
今何時かしら。いつから深酒に変えたの？
風営法、知ってるわよね。
[wait][clear][end]"
msg_63,"[color(yellow)]詩織[color(white)]
知らないなら、署の生活安全課に聞いてみましょうか？
君も最低一ヶ月は臨時休暇もらえると思うけど、
新しいオーナー怒るんじゃない？
[sync][wait][clear][end]"
msg_64,"臨時休暇、すなわち関係者逮捕の上営業停止だ。
客が立って踊る店は、法律上
風俗営業許可申請の届け出が必要だ。
[wait][clear][end]"
msg_65,"だがそうなると、０時までしか営業できない。
馬鹿正直にそんな時間に閉めるクラブは流行らない。
朝まで営業したければ、深夜酒類提供飲食店としての
申請が必要だ。
[wait][clear][end]"
msg_66,"だが、そうすると今度は客を躍らせることができない。
いわゆる小バコや中バコのクラブは、
黙認されているだけで法律上グレーな営業形態なのだ。
[sync][wait][clear][end]"
msg_67,"[color(yellow)]店員[color(white)]
わ、わかりましたよ…
一体何するんです？
面倒は勘弁してくださいよ。
[sync][wait][clear][end]"
msg_68,"[color(yellow)]詩織[color(white)]
ありがと。
朝まで踊るだけよ。
生きてたらね。
[sync][wait][clear][end]"
msg_69,"私は二つの鍵を受け取ると、自分の携帯番号を記した
名刺を男に手渡した。
[wait][clear][end]"
msg_70,"相談したいことがあったら電話しろと、補導した
子供たちに渡すためのものだ。
勿論、悪用を避けるため警察官の身分は記していない。
[wait][clear][end]"
msg_71,"そして、私以外の誰かがＶＩＰフロアへの扉を
くぐろうとしたら、電話するよう丁重に協力を仰いだ。
もし朝になっても奥から出てこなかったら、刑事課の
[suou]巡査部長に電話するようにも付け加えた。
[wait][clear][end]"
msg_72,"他の警官には連絡するなと、念を押して。
もし頼み通り電話があったら、
[suou]刑事は驚くだろう。
[wait][clear][end]"
msg_73,"何せ、ろくに話したこともないのだから。
だが、向こうが知らなくても、私は彼を知っている。
[sync][wait][clear][end]"
msg_74,"[color(yellow)]杏奈[color(white)]
一体、何する気？
[sync][wait][clear][end]"
msg_75,"[color(yellow)]詩織[color(white)]
これまでの被害者は、単独でいる所を狙われてる。
[wait][clear][end]"
msg_76,"[color(yellow)]詩織[color(white)]
この店の奥なら、一人になるにはうってつけでしょ。
出入り口もここしかないし、私以外に誰かがここを
通ればそいつがＪＯＫＥＲってことになる。
[sync][wait][clear][end]"
msg_77,"[color(yellow)]杏奈[color(white)]
本物なの…さっきのカード。
[sync][wait][clear][end]"
msg_78,"[color(yellow)]詩織[color(white)]
あなたは早く帰りなさい。
話のわかる大人ばかりじゃないから、
夜遊びも程ほどにね。
[wait][clear][end]"
msg_79,"[color(yellow)]詩織[color(white)]
何があっても、奥を覗きに来たりしちゃだめよ。
[sync][wait][clear][end]"
msg_80,"[color(yellow)]杏奈[color(white)]
さっき言ってた、[suou]刑事って…
[sync][wait][clear][end]"
msg_81,"[color(yellow)]詩織[color(white)]
たぶん、あなたの所にもそのうち行くわ。
５０１号…ＪＯＫＥＲの捜査をしてるから。
[wait][clear][end]"
msg_82,"[color(yellow)]詩織[color(white)]
彼が来たら、今夜私に聞かれたような事を説明して、
それ以外何も知らないって教えてあげて。
彼もあなたが５０１号に依頼したとは思わないわ。
[sync][wait][clear][end]"
msg_83,"杏奈にそう告げＶＩＰフロアへの扉をくぐると、
私は念のため中から鍵をかけた。
５０１号なら、この程度の密室ものともしないはずだ。
[sync][wait][clear][end]"
