﻿msg_0,"○○月１３日ＡＭ：２時０３分
夢崎区クラブゾディアック
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]杏奈[color(white)]
[tatsuya]。
[sync][wait][clear][end]"
msg_3,"店に着くと、俺を見つけた吉栄が駆け寄ってきた。
わずかに右足を引きずっているのは、
ひき逃げされた後遺症だ。
[sync][wait][clear][end]"
msg_4,"[color(yellow)][tatsuya][color(white)]
なんでまだいるんだ、吉栄。
[sync][wait][clear][end]"
msg_5,"[color(yellow)]杏奈[color(white)]
ごめん、でも…
[sync][wait][clear][end]"
msg_6,"俺が吉栄から事情を聞き終わると、
店の男が落ち着かない様子で声をかけてきた。
こちら側の俺と顔馴染みで、確か中村という男だ。
[sync][wait][clear][end]"
msg_7,"[color(yellow)]中村[color(white)]
おい[tatsuya]、杏奈ちゃんから聞いたけど、
刑事課の[suou]ってお前の兄貴だな？
店からポリに電話するなんざごめんだぜ。
[wait][clear][end]"
msg_8,"[color(yellow)]中村[color(white)]
あの女デカもお前の知り合いか？
ったく、ただでさえ代替わりしたオーナーが
そのスジだってのに、洒落にならねぇぞ…
[sync][wait][clear][end]"
msg_9,"[color(yellow)][tatsuya][color(white)]
中村さん、奥の鍵を貸してくれ。
予備があるだろう。
俺が話をつけてくる。
[sync][wait][clear][end]"
msg_10,"[color(yellow)]中村[color(white)]
話ったってよ…
入ろうとする奴がいたら、電話しろって言われてんだよ。
相手は刑事だぞ、刑事！
[sync][wait][clear][end]"
msg_11,"[color(yellow)][tatsuya][color(white)]
電話はしなくていい。
[sync][wait][clear][end]"
msg_12,"俺は、カウンターの上にその女刑事が
置いていったらしい名刺を見つけ手に取った。
宮代詩織…一応、名前と番号を頭に入れておく。
[sync][wait][clear][end]"
msg_13,"次の瞬間、カードは手の中で一瞬で燃え上がり
灰になった。
[sync][wait][clear][end]"
msg_14,"[color(yellow)]中村[color(white)]
て、手品か！？
[sync][wait][clear][end]"
msg_15,"中村が驚きの声を上げる。
めったに表情を変えない吉栄も、目を見開いていた。
彼らに俺のペルソナ、アポロの腕は見えなかったはずだ。
[sync][wait][clear][end]"
msg_16,"[color(yellow)][tatsuya][color(white)]
鍵だ。
[sync][wait][clear][end]"
msg_17,"俺が手を差し出すと、中村はキーケースから鍵を取り出し
おずおずと手渡した。
[sync][wait][clear][end]"
msg_18,"[color(yellow)]中村[color(white)]
今ここにある予備は、そこの扉の鍵だけだ…
奥にもう一枚扉があるのは知ってるだろ。
そこの鍵は、スタッフルームに忘れてきちまった。
[sync][wait][clear][end]"
msg_19,"俺は頷くと、ついでにカウンターの中の傘立てに
突っ込まれていた木刀も引っ掴んだ。
こんな店だから、稀に客同士の喧嘩もある。
[wait][clear][end]"
msg_20,"中村が護身用に用意しているのを、
こちら側の俺は知っていた。
つまり、俺もだ。
[sync][wait][clear][end]"
msg_21,"[color(yellow)]中村[color(white)]
お、おい、まさかお前がＪＯＫＥＲ…
なんてことはねぇよな？
[sync][wait][clear][end]"
msg_22,"かがんだまま上目遣いに目を向けると、
中村は後ずさった。
[sync][wait][clear][end]"
msg_23,"[color(yellow)][tatsuya][color(white)]
変な噂立てないでくれよ。
向こう側と同じなら、面倒なことになる。
[sync][wait][clear][end]"
msg_24,"[color(yellow)]中村[color(white)]
向こう側？
どうしたんだよ…
なんかお前変だぞ。
[sync][wait][clear][end]"
msg_25,"それ以上中村に構わずＶＩＰフロアへ
向かおうとすると、吉栄が前を塞いだ。
[sync][wait][clear][end]"
msg_26,"[color(yellow)]杏奈[color(white)]
…最近、様子おかしい。
ほんとに、[tatsuya]？
[sync][wait][clear][end]"
msg_27,"女は本当に勘が鋭い。
半分当たりで半分外れだ。
しかし、疑念を持たれるのも当然だ。
[wait][clear][end]"
msg_28,"こちら側の俺はもっと気さくに彼らと接していた。
下手な物真似で、吉栄を笑わせようと
おどけることもあったのだ。
俺とは違う。
[wait][clear][end]"
msg_29,"納得するまで吉栄はどきそうにない。
仕方なく本当のことを言うことにした。
[sync][wait][clear][end]"
msg_30,"[color(yellow)][tatsuya][color(white)]
俺は俺だ。
他の誰かに見えるのか？
[sync][wait][clear][end]"
msg_31,"俺はこちら側の俺の身体を借りている。
背中の傷のことは、服を脱がなければわからないはずだ。
[wait][clear][end]"
msg_32,"向こう側から来た俺の背中には、
１０年前須藤に刺された傷がある。
こちら側の俺には無い…はずだった。
[wait][clear][end]"
