﻿msg_0,"ベルベットルーム
現在
[end]"
msg_1,[clear][end]
msg_2,"[color(yellow)]うらら[color(white)]
はぁ～、なるほどねぇ。
[tatsuya]君、一人でそんなことしてたんだ。
[sync][wait][clear][end]"
msg_3,"[color(yellow)]克哉[color(white)]
まさか、宮代君の家に転がり込んでいたとはな。
以前から、避けられているような雰囲気があったから、
あまり話したこともなかったんだが。
[wait][clear][end]"
msg_4,"[color(yellow)]克哉[color(white)]
まさか、父や僕たちとそんな関係があったとは…
須藤のことで、相当苦しんでいたんだな。
我々と同じように。
[sync][wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
で、その人…？
が、チャントシタナンプラーさん？
[sync][wait][clear][end]"
msg_6,"[color(yellow)]チャンドラプトラ[color(white)]
オ初ニオ目ニカカル…
印度デ神秘ノ探求ヲシテオル
すわーみ・ちゃんどらぷとらト申シマス
[wait][clear][end]"
msg_7,"[color(yellow)]チャンドラプトラ[color(white)]
少々見苦シキ病ヲ患ッテイマシテナ…
コノ様ナ出立デマカリ越シタコト
ゴ容赦頂キタイ
[sync][wait][clear][end]"
msg_8,"[color(yellow)][tatsuya][color(white)]
俺は詩織さんに借りがある。
舞耶姉、悪いけどちょっと行って来る。
[sync][wait][clear][end]"
msg_9,"[color(yellow)]克哉[color(white)]
お前という奴は…
どうしてそう、
何もかも一人で片付けようとする！
[sync][wait][clear][end]"
msg_10,"[color(yellow)]パオフゥ[color(white)]
全くだ。
こっちの方もケリつけなきゃいけねぇってのに、
一人で行って戻れなくなったらどうする気だ？
[sync][wait][clear][end]"
msg_11,"[color(yellow)][tatsuya][color(white)]
…負けるつもりはない。
必ず戻ってくる。
[sync][wait][clear][end]"
msg_12,"[color(yellow)]パオフゥ[color(white)]
責任感って奴か？
自惚れんな。
しくじったって、責任なんか取れやしねぇ。
[sync][wait][clear][end]"
msg_13,"[color(yellow)][tatsuya][color(white)]
………
[sync][wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
もう、お前一人の問題じゃない。
僕も行くぞ。
いいね、天野君？
[sync][wait][clear][end]"
msg_15,"[color(green)]舞耶は、当然！とばかりに頷いた。[color(white)]
[sync][wait][clear][end]"
msg_16,"[color(yellow)]うらら[color(white)]
そういうことなんで、ナンプラーさん、
ちゃちゃっと私たち、送ってくれちゃいます？
[sync][wait][clear][end]"
msg_17,"[color(yellow)]チャンドラプトラ[color(white)]
ワカリマシタ
シカシ代ワリニ私カラモ
一ツオ頼ミシタイ事ガアリマス
[wait][clear][end]"
msg_18,"[color(yellow)]チャンドラプトラ[color(white)]
這イ寄ル混沌ニ奪ワレタ
我ガ弟子らんどるふ・かーたーノ
心ノ欠片モ探シ出シテ頂キタイノデス
[wait][clear][end]"
msg_19,"[color(yellow)]チャンドラプトラ[color(white)]
オ願イデキマスカナ？
[sync][wait][clear][end]"
msg_20,"[color(green)]舞耶は、まかせといて！とばかりに頷いた。[color(white)]
[sync][wait][clear][end]"
msg_21,"[color(yellow)]チャンドラプトラ[color(white)]
デハ「カダス」ヘノ窮極ノ門ヲ
開イテサシアゲマショウ
[sync][wait][clear][end]"
msg_22,"[color(green)]チャンドラプトラ師は、懐から１５センチ程の
アラベスク模様に覆われた銀の鍵を取り出した。[color(white)]
[sync][wait][clear][end]"
msg_23,"[color(green)]師が奇怪な呪文を唱えながら鍵を９回回すと、
闇に銀色の色彩が渦巻く穴が現れた。[color(white)]
[sync][wait][clear][end]"
msg_24,"[color(yellow)]チャンドラプトラ[color(white)]
サァオ行キナサイ
コノ窮極ノ門ヲ抜ケレバ
「カダス」ヘ至リマス
[wait][clear][end]"
msg_25,"[color(yellow)]チャンドラプトラ[color(white)]
私ハ故アッテ同道デキマセンガ
我ガ友ガ水先案内人トナッテクレルデショウ
[sync][wait][clear][end]"
msg_26,"[color(green)]舞耶達は、窮極の門を抜けて「カダス」ヘ旅立った。[color(white)]
[sync][wait][clear][end]"
