﻿msg_0,"南条記念病院
数日後
[end]"
msg_1,[clear][end]
msg_2,"暗闇の中を漂う花の香りに、
永遠とも思える間昏睡していた詩織は、目を覚ました。
[sync][wait][clear][end]"
msg_3,"[color(yellow)]詩織[color(white)]
ここは…
[sync][wait][clear][end]"
msg_4,"[color(yellow)]杏奈[color(white)]
病院。
[tatsuya]のお兄さんたちが、
運んできてくれたみたい。
[sync][wait][clear][end]"
msg_5,"[color(yellow)]詩織[color(white)]
そう…
あなたはどうして？
[sync][wait][clear][end]"
msg_6,"[color(yellow)]杏奈[color(white)]
ノリコ…
後輩の見舞いのついで。
私たちも、天野さんと[tatsuya]に助けてもらったから。
[sync][wait][clear][end]"
msg_7,"[color(yellow)]詩織[color(white)]
[tatsuya]君…
[tatsuya]君は？
[sync][wait][clear][end]"
msg_8,"杏奈はうつむき、ついで窓の外に視線を移した。
[sync][wait][clear][end]"
msg_9,"[color(yellow)]杏奈[color(white)]
たぶん、もう「あの[tatsuya]」には会えない。
あなたも、私も…
[sync][wait][clear][end]"
msg_10,"長い沈黙の後、詩織はポツリと呟いた。
[sync][wait][clear][end]"
msg_11,"[color(yellow)]詩織[color(white)]
そう…
夢じゃ…
なかったんだ。
[sync][wait][clear][end]"
msg_12,"詩織は、なんとなくわかっていたかのように天井を
見つめ、静かにとめどなく涙を流した。
[sync][wait][clear][end]"
msg_13,"[color(yellow)]詩織[color(white)]
ごめんなさい…
[tatsuya]君…
ありがとう…
[sync][wait][clear][end]"
msg_14,"ペルソナ２無影無踪
Ｅｎｄ
[sync][wait][clear][end]"
