﻿msg_0,"パーティの人数が四人を超えています。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
洗脳されたからって、
どうしてレッツ・ポジティブシンキング？
マーヤがいっぱいいるみたいで、気持ちワル！
[sync][wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
あちゃ…
薬屋サンまでトリフネの話題で持ちきり？
どうしよう…？どうしようもないけど…
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
だけど[tatsuya]君は、
どうしてああまでマーヤを避けるのかねぇ？
ひょっとして愛情の裏返し？
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
ちょ…ゴメンゴメン、
冗談だってば。
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
私が見るに、[tatsuya]君って、
何でも一人で背負っちゃうタイプね。
まぁ…何か事情があるかも知れないけどさ。
[wait][clear][end]"
msg_6,"[color(yellow)]うらら[color(white)]
しかしアレだねぇ。
お姉さんまで赤面しちゃいそうな話だねぇ。
マーヤ、あんたって幸せ者かもよ？
[wait][clear][end]"
msg_7,"[color(yellow)]うらら[color(white)]
ふふふ、ホントなら、
私は今頃お見合いパーティに出席して、
いい相手を見つけてたかもねぇ…
[wait][clear][color(yellow)]うらら[color(white)]
それが今じゃこの有様…
なんともまあ…
私らしい人生だこと！
[wait][clear][end]"
msg_8,"[color(yellow)]克哉[color(white)]
公僕とは言え、一人の人間だ。
その一時…過ちを犯すこともあるかもしれん…
法は…どこまで人を裁けるものなのか…
[wait][clear][end]"
msg_9,"[color(yellow)]克哉[color(white)]
しかし南条家の情報操作能力というのは凄いな。
これほど早くトリフネの話が広まってしまうとは…
[wait][clear][end]"
msg_10,"[color(yellow)]克哉[color(white)]
成長すれば兄弟でも
互いに話せぬ事情が出てくるものさ…
それは否定しないが…アイツは特別だ。
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
[tatsuya]のヤツ、あまり顔色が良くないな…
これ以上、我々に何を見せるつもりだ。
[wait][clear][end]"
msg_12,"[color(yellow)]克哉[color(white)]
もう一つの世界から来た[tatsuya]…か。
まあ…どちらも僕の弟に変わりはない。
だから特別視するつもりもない。
[wait][clear][end]"
