﻿msg_0,"金田・片岡に連絡してください。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
マーヤ聞いてよ！あのあんちゃん、
今度一緒に食事でもどうですか、だって。
冗談じゃないってのよまったく！
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
ありゃ…美白コースだって。
ここ日焼けサロンでしょ？
美白なんてできんのかな？
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
[tatsuya]君って、よっぽど強いか無鉄砲なのね。
だって、たった一人であんな連中、
相手にしようって思う、普通？
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
意識は「向こう側」の[tatsuya]君でも、
体は、「こちら側」の[tatsuya]君なんでしょ？
じゃあ、元の[tatsuya]君の意識は眠ってるのかな…
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
あのオーブン部屋での対処といい…
マーヤは「向こう側」でも相当無茶してたのね…
[end]"
msg_6,"まあ、らしいっちゃ、らしいけど。
[wait][clear][end]"
msg_7,"[color(yellow)]克哉[color(white)]
そう言えば、礼を言っていなかったな。
天野君たちが来てくれなければ、
僕がやつらにやられていただろう。感謝する。
[wait][clear][end]"
msg_8,"[color(yellow)]克哉[color(white)]
結局のところ、共にいても、
戦う理由は皆違うという事か…
…まぁ…当たり前かもしれんが。
[wait][clear][end]"
msg_9,"[color(yellow)]克哉[color(white)]
しかしなぜ[tatsuya]が竜蔵に…
まさか親父の事を知っているのか？
それとも、何かそれ以外の理由が…
[wait][clear][end]"
msg_10,"[color(yellow)]克哉[color(white)]
デジャ・ヴュは、
二つの世界の均衡が崩れ始めている証拠か…
そしてそれは今も、進行しているのだな。
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
竜蔵が神事とやらを始めてしまったら、
もう防ぎようが無いぞ。
その前に奴を止めなくては…
[wait][clear][end]"
msg_12,"[color(yellow)]克哉[color(white)]
人間、一人でできる事なんて限られているからな…
力を合わせれば、不可能な事などないさ…
[wait][clear][end]"
msg_13,"[color(yellow)]パオフゥ[color(white)]
嫌な顔しながら、
相手を無視できねぇのが、芹沢の悪い癖だ。
また詐欺にあうのも時間の問題だろうぜ。
[wait][clear][end]"
msg_14,"[color(yellow)]パオフゥ[color(white)]
どうも引っかかる…廃工場で見たブリキ人形、
前にあれと似た何かを見た気がするんだ…
…気のせい…だよなぁ。
[wait][clear][end]"
msg_15,"[color(yellow)]パオフゥ[color(white)]
あの小僧が竜蔵を追いまわすのは、
[suou]とは違う理由みてぇだな。
ま、こいつは勘だが…
[wait][clear][end]"
msg_16,"[color(yellow)]パオフゥ[color(white)]
こう似た事件が頻発しちゃあ、
街の連中が「向こう側」を思い出すのも
時間の問題だな。のんびりはしてられねぇか。
[wait][clear][end]"
msg_17,"[color(yellow)]パオフゥ[color(white)]
用意周到な奴等に比べて、
こっちは行き当たりばったりの連続だな？
こんなんで、神事を止められるのか？
[wait][clear][end]"
msg_18,"[color(yellow)]パオフゥ[color(white)]
奴は人の持つネガティブな意識その物だ。
奴を相手にするって事は、
人類全体を敵に回してんのと同じかもな。
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
へへへ…皮肉なもんだぜ。
この俺がそんな奴を相手にするなんてよ。
まっ、後悔しちゃいねぇがな。
[wait][clear][end]"
msg_20,"[color(yellow)]南条[color(white)]
久しぶりに日本に戻ってまず驚いたのは、
日焼け女性がやたら多かった事です。
あれは顔に何か塗っているのですか？
[wait][clear][end]"
msg_21,"[color(yellow)]南条[color(white)]
しかし…いくら回復のためとは言え、
ここに入るのは抵抗がある。
化粧代わりに肌を焼く趣味はない…
[wait][clear][end]"
msg_22,"[color(yellow)]南条[color(white)]
なぜか時々、
あの[suou]と神取がダブって見える…
…なぜかな…
[wait][clear][end]"
msg_23,"[color(yellow)]エリー[color(white)]
ウフフフ、先程、あの店主さんに
食事に誘われてしまいましたわ。
もちろん、丁重にお断りしましたけど。
[wait][clear][end]"
msg_24,"[color(yellow)]エリー[color(white)]
あの…
私、あまり日焼けはしたくないのですが…
ここ…大丈夫でしょうか？
[wait][clear][end]"
msg_25,"[color(yellow)]エリー[color(white)]
Ｍｒ．神取の目的は何だったのでしょう…
私には、彼の目的が新世塾のそれとは
別の場所にあったような気がしてならないんです
[wait][clear][end]"
msg_26,"[color(yellow)][tatsuya][color(white)]
できることなら、
セブンスで会ったとき…
そのままこの事件の事は忘れて欲しかった…
[wait][clear][end]"
msg_27,"[color(yellow)][tatsuya][color(white)]
この世界も、むこう側と同じ、
破滅に向って着実に進んでいる。
それだけは、なんとしても防がないと！
[wait][clear][end]"
msg_28,"[color(yellow)][tatsuya][color(white)]
神殿が出てこなかったのは不幸中の幸いだな…
この際、「向こう側」の世界との違いは、
少しでもあったほうがいい。
[wait][clear][end]"
msg_29,"[color(yellow)][tatsuya][color(white)]
確かに不利な状況ではあるけれど…
負ける気はしないんだ。
もう俺は…一人じゃないから。
[wait][clear][end]"
msg_30,"[color(yellow)]あんちゃん[color(white)]
ハァイ、元気してるゥ？オレってイケてる？
よォこそォ、ビキニラインへ♥
[wait][clear][end]"
msg_31,"[color(yellow)]あんちゃん[color(white)]
おっとォ…、何だろうねェこの胸の高鳴りはァ～
もしかしてボク達相性サイコーかもよォ～
こりゃ、料金も勉強させてもらわなきゃねェ～
[wait][clear][end]"
msg_32,"[color(yellow)]あんちゃん[color(white)]
さァさァ、今日はどのコースをご希望かなァ～？
[end_choice][clear][end]"
msg_32_Choice1,回復してもらう
msg_32_Choice2,話をする
msg_32_Choice3,なにもしない
msg_32_Choice4,店の外に出る
msg_33,"[color(yellow)]あんちゃん[color(white)]
何を聞きたいのかな～？
[end_choice][clear][end]"
msg_33_Choice1,世間話をする
msg_33_Choice2,回復の説明を聞く
msg_33_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_34,"[color(yellow)]あんちゃん[color(white)]
さァ、他に何かあるかなァ？
言って言って、どんどん言って！
ボクって結構つくすタイプだし。
[wait][clear][end]"
msg_35,"[color(yellow)]あんちゃん[color(white)]
ところでキミ、今度食事でもど～お？
とっても美味しいお店知ってるんだよねぇ～
ボクはそこのシェフと友達なんだぁ～
[wait][clear][end]"
msg_36,"[color(yellow)]あんちゃん[color(white)]
やっぱり日頃の行いって大切だよねぇ。
ボクなんかその点バッチリだから、
トリフネに乗れるんだもんね～
[wait][clear][end]"
msg_37,"[color(yellow)]あんちゃん[color(white)]
ちょっといいかなァ？
あの赤い服着た人、キミの知り合い？
ボク、どこかで彼を見た気がするんだよねぇ…
[wait][clear][end]"
msg_38,"[color(yellow)]あんちゃん[color(white)]
どうしてかなぁ～ボク、前にも街が空を飛んでいる
夢を見たことがあるんだよ～
もしかして正夢だったって事かな～？
[wait][clear][end]"
msg_39,"[color(yellow)]あんちゃん[color(white)]
ネェネェネェ、ここはドコ？
なんで空が赤いの！？
これって何かの前兆だったりして…
[wait][clear][end]"
msg_40,"[color(yellow)]あんちゃん[color(white)]
あれェ～、もう帰っちゃうのォ？
寂しィ…寂しィよボクは。
だからまた来てよねェ～
[wait][clear][end]"
msg_41,"[color(yellow)]あんちゃん[color(white)]
あれぇ？だけどみんな元気みたいだネェ～
これで、うちの光浴びたら、元気になりすぎて
大変ヨ。見送った方が良くない？
[wait][clear][end]"
msg_42,"[color(yellow)]あんちゃん[color(white)]
じゃあ…キミだけ特別料金。
３０００円でいいよ。[wait][clear][end]"
