﻿msg_0,"金田・片岡に連絡してください。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
ここの占いは信じて大丈夫かな？
望龍術の件もあるし…
ちょっと慎重なぐらいが丁度良い？
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
パオとあの云豹って、
どんな因縁があるんだろうね？
パオは相当恨んでるみたいだけど…
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
なんだかんだ言って、
[suou]さんとパオっていいコンビかもねぇ。
凸凹しててさ。
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
どうして[tatsuya]君、あんなに私達の事避けるかな？
[suou]さんなんか、お兄さんでしょ？
なんだかなぁ…よく分からんよあたしゃ。
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
[tatsuya]君が、刑事さんの弟じゃないって
言ってたのって…ああいう事だったんだ…
[wait][clear][end]"
msg_6,"[color(yellow)]うらら[color(white)]
[suou]兄弟…[suou][tatsuya]と[suou]克哉…
なんか適当に呼んでたら紛らわしいね。
[end]"
msg_7,"よし！今日から[suou]さんは[suou]兄だ。
[wait][clear][end]"
msg_8,"[color(yellow)]うらら[color(white)]
キャーーー！！
[tatsuya]君って、「向こう側」じゃ、
[tatsu]って呼ばれてたんだって。
[wait][clear][end]"
msg_9,"[color(yellow)]うらら[color(white)]
そりゃさ、神様も占いも、
結局人の作ったものだし、
ただの思い込みって言われればそれまでだけど…
[wait][clear][color(yellow)]うらら[color(white)]
私は、それはそれで良いと思うのよねぇ。
そうやってみんな、今の自分を支えているんだし…
全てを否定しちゃ、つまらないもの。
[wait][clear][end]"
msg_10,"[color(yellow)]克哉[color(white)]
占い自体、新世塾の布石だった…
今更その占いをどうこうしても、
状況を変えることはできんだろうな。
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
パオフゥも一人で踏み込んで行く程
馬鹿じゃないだろう。
きっと我々の到着を待っているはずだ。
[wait][clear][end]"
msg_12,"[color(yellow)]克哉[color(white)]
人間の神経組織を移植した、二足歩行戦車…
あれがそうなのか。
急がねば、パオフゥの奴が危ないぞ。
[wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
言っておくが、
僕は竜蔵も嵯峨に殺させるつもりはない。
罪を裁くのは法だ。僕達じゃない。
[wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
いつの頃からだったかな…
[tatsuya]がああなったのは。
まあ…何も教えてない僕にも責任はあるか…
[wait][clear][end]"
msg_15,"[color(yellow)]克哉[color(white)]
頼む天野君…僕は真実が知りたいんだ…
岩戸山へ行ってくれ…
[wait][clear][end]"
msg_16,"[color(yellow)]克哉[color(white)]
芹沢君…
どう呼んでもらっても構わんが…
[suou]兄…というのも安直すぎやせんか…
[wait][clear][end]"
msg_17,"[color(yellow)]克哉[color(white)]
[tatsu]か…
悪くないニックネームだ。
ん？だとすると僕はどうなるんだ？
[wait][clear][end]"
msg_18,"[color(yellow)]克哉[color(white)]
諸悪の根源…
奴にはピッタリの言葉だな。
それが僕達人間の影そのものか…
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
俺は神様同様、占いも信じてないんでな。
占ってもらうなら勝手にやってくれ。
あまり無駄遣いするなよ。
[wait][clear][end]"
msg_20,"[color(yellow)]パオフゥ[color(white)]
ちっ、あの甘ちゃんは
まだ逮捕にこだわるつもりか？
…ったく…石頭のコンコンチキが…
[wait][clear][end]"
msg_21,"[color(yellow)]パオフゥ[color(white)]
どうした？
あの坊主の話を聞いてやるんじゃないのか？
先に占ってみる程、気を使った話でもねぇだろ？
[wait][clear][end]"
msg_22,"[color(yellow)]パオフゥ[color(white)]
[tatsuya]に聞いたんだが、「向こう側」じゃ、
あの占い師が噂屋をしていたそうだ。
やはり微妙に違うもんだな。
[wait][clear][end]"
msg_23,"[color(yellow)]パオフゥ[color(white)]
ったく、あいつら、
くだらん話で盛り上がりやがって。
今はそれどころじゃねぇだろ。
[wait][clear][end]"
msg_24,"[color(yellow)]パオフゥ[color(white)]
なさけねぇ話だが、
奴を見た時、とても勝てるって気がしなかった。
まるで…子供と大人だぜ…
[wait][clear][end]"
