﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
ホント、サトミタダシってどこも同じねぇ。
店主さんまで同じなんだから…
何区にいるんだか分からなくなっちゃうよ。
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
パオの奴も大概無鉄砲だよねぇ。
チャンスなのは分かるけどさ…
一人で行ってどうにかなるもんでもないっしょ？
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
もしかして、罠だと気付いてなかったのは私だけ？
…ったく、皆も人が悪いわよぉ。
そうならそうと教えてくれたっていいじゃん！
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
う～ん…
今時の子ってどんな色が好みなのかなぁ…
[tatsuya]君に聞いてみようか？
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
店主さんの話聞いた？
今度はトリフネ支店を作るんだって…
商魂逞しいよねぇ。
[wait][clear][end]"
msg_6,"[color(yellow)]うらら[color(white)]
噂を現実に変えてたのも、結局アイツなんだよね…
まぁ、街をこんなにしちゃうんだもん。
噂通りに現実を変えるなんて、簡単か…
[wait][clear][end]"
msg_7,"[color(yellow)]克哉[color(white)]
最近は女子高生の万引事件が多くてな。
特にこうした小物の多い店は狙われやすいようだ。
[end]"
msg_8,"…まったく、世も末だな。
[wait][clear][end]"
msg_9,"[color(yellow)]克哉[color(white)]
例え未成年であっても、法を犯せば犯罪者だ。
一時の出来心が、一生を左右してしまう事もある。
[end]"
msg_10,"そうなってからでは遅いんだ…
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
……
[end]"
msg_12,"済まんが傷薬などは多めに買っておいてくれ。
少々、厄介な事になりそうだ。
[wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
罠だと知ってたなら教えておけと
芹沢君に怒られてしまった…
ま…まぁ、これも成り行きというヤツなんだが…
[wait][clear][end]"
