﻿msg_0,"パーティの人数が四人を超えています。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
こんな所でまであの顔を見るとは思わなかったわ…
おかげでなーんか落ち着いちゃったけど。
それにしても、売り物はどこから仕入れてるのかしら？
[sync][wait][clear][end]"
msg_2,"[color(yellow)]克哉[color(white)]
何故ここにサトミタダシが！？それにあの女店主は？
以前に彼女らは７人姉妹だと聞いているんだが…
あそこにいるのは何者なんだ？
[wait][clear][end]"
msg_3,"[color(yellow)]パオフゥ[color(white)]
品揃えは他の店と一緒か、面白みがねぇな。
こんなヘンピなところにあるんだから、
地域限定品でもあれば客も…来ねぇかさすがに。
[wait][clear][end]"
msg_4,"[color(yellow)]南条[color(white)]
・・・・・・・・・・・・
[wait][clear][end]"
msg_5,"[color(yellow)]エリー[color(white)]
・・・・・・・・・・・
[wait][clear][end]"
msg_6,"[color(yellow)][tatsuya][color(white)]
これは…これも詩織さんの心の一部なのか？
…いや、違うな。これは全員の普遍的無意識とやらが
作り出したサトミタダシ…なのか。
[wait][clear][end]"
msg_7,"[color(yellow)]オバサン？[color(white)]
はいはい、いらいっしゃいませ～！！
今日も魅惑のサトミサウンドで客の心を鷲掴み！
そのまま来世まで持ってっちゃうわよ～うひょひょひょ！
[wait][clear][end]"
msg_8,"[color(yellow)]オバサン？[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[end_choice][clear][end]"
msg_8_Choice1,消費物を買う
msg_8_Choice2,アイテムを売る
msg_8_Choice3,話をする
msg_8_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_8_Choice5,やめる
msg_8_Choice6,店の外に出る
msg_9,"[color(yellow)]オバサン？[color(white)]
さぁ、何を売りたいのかしらぁ？
[end_choice][clear][end]"
msg_9_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_9_Choice2,[dbl_tab]消費物を売る
msg_9_Choice3,[dbl_tab]武器を売る
msg_9_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_9_Choice5,[dbl_tab]防具を売る
msg_9_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_9_Choice7,[dbl_tab]アクセサリーを売る
msg_10,"[color(yellow)]オバサン？[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_10_Choice1,世間話をする
msg_10_Choice2,売買の説明を聞く
msg_10_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_11,"[color(yellow)]オバサン？[color(white)]
他に何かあるかしらぁ～？
[end_choice][clear][end]"
msg_11_Choice1,消費物を買う
msg_11_Choice2,アイテムを売る
msg_11_Choice3,話をする
msg_11_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_11_Choice5,やめる
msg_11_Choice6,店の外に出る
msg_12,"[color(yellow)]オバサン？[color(white)]
さぁ、何を売りたいのかしら？
[end_choice][clear][end]"
msg_12_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_12_Choice2,[dbl_tab]消費物を売る
msg_12_Choice3,[dbl_tab]武器を売る
msg_12_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_12_Choice5,[dbl_tab]防具を売る
msg_12_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_12_Choice7,[dbl_tab]アクセサリーを売る
msg_13,"[color(yellow)]オバサン？[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_13_Choice1,世間話をする
msg_13_Choice2,売買の説明を聞く
msg_13_Choice3,[if_all(EBIT_SINARIOFF)]非表示項目
msg_14,"[color(yellow)]オバサン？[color(white)]
サトミタダシは一族の野望である全国制覇に向けて、
全店年中無休で営業中なのよぉ～うひょひょひょ！
他のサトミタダシもよろしくねぇ～。
[wait][clear][end]"
msg_15,"[color(yellow)]オバサン？[color(white)]
毎度どうもなのよぉ～
[wait][clear][end]"
msg_16,"エラー：どこからの来たのか不明です・・・
[end]"
msg_17,"[color(yellow)]オバサン？[color(white)]
うひょひょひょ。
”売買”についてねぇ～。
[wait][clear][color(yellow)]オバサン？[color(white)]
まずは、購入の説明なのねぇ～。
うちの店で”消費物を買う”を選ぶと
消費アイテムを買うことができるわよぉ～。
[wait][clear][color(yellow)]オバサン？[color(white)]
あっ、そうそう、アイテムは持てる数が
決まってるからねぇ～。
[wait][clear][color(yellow)]オバサン？[color(white)]
次に、売却の説明なのねぇ～。
”アイテムを売る”を選んで、まず種類を決めて、
次に売りたいものを選んでねぇ～。
[wait][clear][color(yellow)]オバサン？[color(white)]
買取価格は元値の約半額くらいよぉ～。
あと、装備中の物は売ることができないからねぇ～。
それと、物によっては買取できない物もあるわよぉ～。
[wait][clear][color(yellow)]オバサン？[color(white)]
こんなとこかしらぁ～。
うひょひょひょ。
[wait][clear][end]"
msg_18,"[color(yellow)]オバサン？[color(white)]
売れる物、持ってないじゃないの～。[wait][clear][end]"
msg_19,"[color(yellow)]オバサン？[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_19_Choice1,はい
msg_19_Choice2,いいえ
msg_20,"[color(yellow)]オバサン？[color(white)]
全部で、[var(msg_var_0)]円になるけど
いいかしらぁ～？
[end_choice][clear][end]"
msg_20_Choice1,はい
msg_20_Choice2,いいえ
